"Supplier 1","123 Main St, City, Country","123-456-7890","supplier1@example.com"
"Supplier 2","456 Elm St, City, Country","456-789-0123","supplier2@example.com"
"Supplier 3","789 Oak St, City, Country","789-012-3456","supplier3@example.com"
"Supplier 4","321 Pine St, City, Country","321-654-9870","supplier4@example.com"
"Supplier 5","654 Cedar St, City, Country","654-987-0123","supplier5@example.com"
"Supplier 66","987 Birch St, City, Country","987-210-5436","supplier6@example.com"
"Supplier 8","258 Walnut St, City, Country","258-369-4812","supplier8@example.com"
"Supplier 9","369 Cherry St, City, Country","369-481-6023","supplier9@example.com"
"XYZ","159 Pineapple St, City, Country","159-357-4802","supplier10@example.com"
"ABC suppliers","street 56","1233123124","abc@gmail.com.vn"
"Samsungvbv","159 Pineapple St, City,Country SAfthhyh","1593574802999","samsung@gmail.com"
"Xiaomi","160 Pineapple St, City","2149000021","xiaomi@gmail.com"
